id,timepoint,ear,frequency,min_level,max_level,manual threshold
38,1,left,32000,65,105,95.0
38,2,left,32000,65,105,95.0
38,3,left,32000,65,105,inf
38,0,right,4000,65,105,inf
38,1,right,4000,65,105,inf
38,2,right,4000,65,105,inf
38,3,right,4000,65,105,inf
38,0,right,5656,65,105,105.0
38,1,right,5656,65,105,inf
38,2,right,5656,65,105,inf
38,3,right,5656,65,105,inf
38,0,right,8000,65,105,100.0
38,1,right,8000,65,105,inf
38,2,right,8000,65,105,105.0
38,3,right,8000,65,105,inf
38,0,right,11313,65,105,105.0
38,1,right,11313,65,105,105.0
38,2,right,11313,65,105,inf
38,3,right,11313,65,105,inf
38,0,right,16000,65,105,inf
38,1,right,16000,65,105,105.0
38,2,right,16000,65,105,inf
38,3,right,16000,65,105,inf
38,0,right,22627,65,105,95.0
38,1,right,22627,65,105,100.0
38,2,right,22627,65,105,inf
38,3,right,22627,65,105,inf
38,0,right,32000,65,105,inf
